TF,TF-Family ,Experiment Date ,gDNA batch ,Raw read pairs #,mapped mapped pairs #,peak # ,#Peaks 5 fold ,Peak reads #,FRiP_score ,Motif known,Motif,Path to data ,Sequencing/report date ,Unnamed: 14,Unnamed: 15
amp_TEAD1_b,TEAD family,2/24/26,2/12/25,19075637,11200096,3569,2994,292587,1.32,Yes,Yes,,,,
amp_NFIL3_b,bZIP (PAR subfamily),2/24/26,2/12/25,24908176,16078030,11581,8379,241078,0.76,Yes,Yes,,,,
TEAD1,TEAD family,2/17/25,2/12/25,,37485913,10333,4141,523460,0.7,Yes,Yes,,,,
MYNN,BTB-ZF (C2H2 zinc finger),12/18/25,12/3/25,83826443,69159264,29336,2220,451766,0.33,No,Yes,,,,
TEAD1_a,TEAD family,2/23/25,2/12/25,21263759,15518591,1298,681,62351,0.2,Yes,Yes,,,,
TGIF2LX,TALE homeodomain,4/9/25,,38618879,62622744,7804,1248,90440,0.14,Yes,Yes,,,,
MKRN3,RING finger / CCCH zinc finger (Makorin),4/15/25,,13427556,21859813,1287,769,19390,0.09,No,Yes,,,,
MECP2,MBD (methyl-CpG binding domain),12/18/25,12/3/25,101914825,85399736,6940,590,140436,0.08,No,Yes,,,,
NFIL3,bZIP (PAR subfamily),2/17/25,2/12/25,,44920928,2207,1197,57704,0.06,Yes,Yes,,,,
TP53,p53 family,12/5/25,12/3/25,50283712,31612846,2562,652,39973,0.06,Yes,Yes,,,,
MKRN3,RING finger / CCCH zinc finger (Makorin),2/17/25,2/12/25,,42465120,3751,1055,46469,0.06,No,Yes,,,,
RFX2,RFX family (winged-helix),12/5/25,12/3/25,35075758,21243877,372,317,15567,0.04,Yes,Yes,,,,
TGIF2,TALE homeodomain,12/5/25,12/3/25,25688628,19313896,106,72,9957,0.03,No,Yes,,,,
TFAP2A,AP-2 family,2/17/25,2/12/25,,47398598,497,66,3335,0,Yes,Yes,,,,
NFATC3,NFAT family (Rel homology domain),12/5/25,12/3/25,19126724,13370372,10,4,78,0,Yes,Yes,file:///Volumes/pinkylee/20251224_batch2/Human_pipeline_out/report/report.html,12/24/25,,
amp_MKRN3_b,RING finger / CCCH zinc finger (Makorin),2/24/26,2/12/25,24205828,14539101,47,34,821,0,No,Yes,,,,
CSRP2,LIM domain,1/21/25,1/17/25,14517296,22447058,3649,2554,NA,NA,No,No,,3/1/25,,
CXXC1,CXXC zinc finger,12/18/25,12/3/25,62835988,42659819,55372,37053,9892108,11.7,No,No,file:///Volumes/pinkylee/20251215_RO-GY-2s-AMP/Human_pipeline_out/report/report.html,12/24/25,,
PBX4,TALE homeodomain,1/21/25,1/17/25,16082997,24728981,41343,23197,561236,2.27,No,No,,,,
CORO1A,Non-TF (WD repeat / actin-binding),1/21/25,1/17/25,26609319,43515245,32733,19826,877765,2.02,No,No,,,,
LCP1,Non-TF (actin-bundling / EF-hand),1/21/25,1/17/25,21473092,34931907,19908,13185,540536,1.55,Yes,No,,,,
ZBTB43,C2H2 ZF ,1/21/25,1/17/25,21334480,34582987,19023,12479,520717,1.51,Yes,No,,,,
amp_TP53_b,p53 family,2/24/26,2/12/25,33487732,20918744,44825,12412,580292,1.39,Yes,No,,,,
TAGLN2,Non-TF (actin-binding / calponin),1/21/25,1/17/25,22385413,34930806,14457,9239,379895,1.09,No,No,,,,
amp_TEAD1_double,TEAD family,2/24/26,2/12/25,19714970,11256501,3448,2532,210824,0.94,Yes,No,,,,
TGIF2,TALE homeodomain,1/21/25,1/17/25,18201341,28880597,10718,6873,266115,0.92,No,No,,,,
NFX1,NF-X1-type zinc finger,12/5/25,12/3/25,18080522,13297316,5991,2904,217306,0.82,No,No,,,,
ZBED5,BED zinc finger,2/17/25,2/12/25,,28728000,17183,6355,441575,0.77,No,No,,,,
GRIP1,,1/21/25,1/17/25,17756159,28936488,8114,5354,220666,0.76,No,No,,,,
TP53,p53 family,2/17/25,2/12/25,,53029869,97782,9353,795000,0.75,Yes,No,,,,
MPP2 (FOXM1),FOX,1/21/25,1/17/25,19236360,31325316,8071,5278,223932,0.71,Yes,No,,,,
SART1,Non-TF (spliceosomal),1/21/25,1/17/25,16917126,27370426,4361,2816,121722,0.44,No,No,,,,
NFIL3,bZIP (PAR subfamily),12/18/25,12/3/25,5597560,4386822,2187,1573,36064,0.41,Yes,No,,,,
MEIS2,TALE homeodomain,1/21/25,1/17/25,12044260,18722956,3259,1680,67184,0.36,No,No,,,,
amp_HALO_b,,2/24/26,2/12/25,26191269,19961751,2133,1136,132961,0.34,,No,,,,
amp_TP53_a,p53 family,2/23/25,2/12/25,21616581,16026097,9450,2827,96158,0.3,Yes,No,,,,
TGIF2LX,TALE homeodomain,1/21/25,1/17/25,8365215,12799619,2869,1206,36574,0.29,Yes,No,,,,
TGIF2,TALE homeodomain,4/15/25,,29427346,49227562,6492,2076,122001,0.25,Yes,No,,,,
TGIF2,TALE homeodomain,4/9/25,,22179939,49227562,6492,2076,122001,0.25,No,No,,,,
CSPR3,LIM domain,1/21/25,1/17/25,11575449,18129515,801,600,39698,0.22,No,No,,,,
ISL01,LIM homeodomain,12/18/25,12/3/25,97508379,81624602,8718,1285,347524,0.21,Yes,No,,,,
PBX2,TALE homeodomain,1/21/25,1/17/25,13808625,21755637,913,602,45139,0.21,Yes,No,,,,
RNF113B,RING finger,1/21/25,1/17/25,11753250,16712527,519,399,32723,0.2,No,No,,,,
amp_HALO_a,,2/23/25,2/12/25,30417399,25311413,561,294,94981,0.19,,No,,,,
HALO,,2/17/25,2/12/25,,48243562,923,316,163976,0.17,,No,,,,
SIAH1,RING finger (E3 ubiquitin ligase),4/15/25,,23096321,38511333,3196,1225,62807,0.16,No,No,,,,
ENO1,Non-TF (glycolytic enzyme),1/21/25,1/17/25,1455083,2332242,55,32,2899,0.12,No,No,,,,
PMSC5,Non-TF (AAA+ ATPase / proteasome),1/21/25,1/17/25,1715856,2751245,90,36,3377,0.12,No,No,,,,
MTHFD2,Non-TF (metabolic enzyme),4/15/25,,24998154,41665806,2484,872,45315,0.11,No,No,,,,
CDK9,Non-TF (CDK kinase),1/21/25,1/17/25,1213959,1862038,32,17,1784,0.1,No,No,,,,
HMBS,Non-TF (heme biosynthesis enzyme),1/21/25,1/17/25,1168207,1855566,24,16,1765,0.1,No,No,,,,
TXN2,Non-TF (thioredoxin),4/15/25,,19469248,32468393,1588,664,31202,0.1,No,No,,,,
CDK7,Non-TF (CDK kinase),1/21/25,1/17/25,999532,1578233,41,19,1483,0.09,No,No,,,,
MKRN3,RING finger / CCCH zinc finger (Makorin),12/18/25,12/3/25,120217128,97366225,3312,1201,146126,0.08,No,No,,,,
AMPD1,Non-TF (AMP deaminase),1/21/25,1/17/25,1279025,1846026,22,14,1464,0.08,No,No,,,,
PDE7B,Non-TF (phosphodiesterase),1/21/25,1/17/25,769781,1220940,11,10,833,0.07,No,No,,,,
MPP2 (FOXM1) ,FOX,4/15/25,,18485669,30829314,1043,451,20255,0.07,No,No,,,,
amp_NFATC4_b,NFAT family (Rel homology domain),2/24/26,2/12/25,19979681,15560873,935,490,18794,0.06,Yes,No,,,,
SART1,Non-TF (spliceosomal),4/15/25,,11256585,18605362,627,302,9657,0.05,No,No,,,,
CORO1A,Non-TF (WD repeat / actin-binding),4/15/25,,6982640,11312252,275,138,3470,0.03,Yes,No,,,,
TAF7,Non-TF (TFIID / TAF component),12/18/25,12/3/25,20435949,16330404,1198,288,11342,0.03,No,No,,,,
ZNF645,C2H2 ZF,4/15/25,,6203166,9602387,162,79,1699,0.02,No,No,,,,
MKRN2,RING finger / CCCH zinc finger (Makorin),4/15/25,,10355984,16222045,154,81,2455,0.02,No,No,,,,
TGIF2_a,TALE homeodomain,2/23/25,2/12/25,16447040,11333423,81,39,1258,0.01,Yes,No,,,,
YY1_a,C2H2 ZF (GLI-Krüppel class),2/23/25,2/12/25,20905814,12519299,118,66,1797,0.01,Yes,No,,,,
NFIL3_a,bZIP (PAR subfamily),2/23/25,2/12/25,22473467,14492750,169,73,2159,0.01,Yes,No,,,,
amp_NFATC4_a,NFAT family (Rel homology domain),2/23/25,2/12/25,24445291,20217357,265,122,5022,0.01,Yes,No,,,,
PIN1,Non-TF (peptidyl-prolyl isomerase),4/15/25,,10908151,17828778,62,31,932,0.01,No,No,,,,
TGIF2,TALE homeodomain,2/17/25,2/12/25,,37119449,45,12,897,0,Yes,No,,file:///Volumes/pinkylee/20260313_LH00315/Human_pipeline_out/report/report.html,,
amp_TGIF2_b,TALE homeodomain,2/24/26,2/12/25,26504264,15731571,20,11,436,0,Yes,No,,file:///Volumes/pinkylee/20260313_LH00315_b/Human_pipeline_out/report/report.html,,
amp_YY1_b,C2H2 ZF (GLI-Krüppel class),2/24/26,2/12/25,24835177,12412667,59,34,900,0,Yes,No,,,,
NFATC4,NFAT family (Rel homology domain),12/5/25,12/3/25,30725341,18716837,20,8,259,0,Yes,No,,,,
SMAD2,SMAD family,12/5/25,12/3/25,21645248,15257987,12,2,85,0,Yes,No,,,,
MEIS2,TALE homeodomain,4/9/25,,34644646,57427014,66,16,1011,0,Yes,No,,,,
PBX4,TALE homeodomain,4/9/25,,20003930,33063930,16,3,128,0,Yes,No,,,,
ZBTB43,C2H2 ZF,4/9/25,,19283108,32124647,44,28,1031,0,Yes,No,,,,
ZBTB43,C2H2 ZF,4/15/25,,12288339,32124647,44,28,1031,0,Yes,No,,,,
MKRN3_a,RING finger / CCCH zinc finger (Makorin),2/23/25,2/12/25,21972896,12907237,101,49,1224,0,No,No,,,,
PRMD12,PR/SET domain (PRDM family),12/18/25,12/3/25,75326536,63228809,27,10,4007,0,No,No,,,,
TAF7L,Non-TF (TFIID / TAF component),12/5/25,12/3/25,38453388,23141931,8,2,62,0,No,No,,,,
ID1,"HLH (inhibitory, dominant-negative bHLH)",12/5/25,12/3/25,45388611,29312646,29,9,379,0,No,No,,,,
MED21,Non-TF (Mediator complex subunit),12/5/25,12/3/25,18700874,12739479,6,1,295,0,No,No,,,,
RNF113B,RING finger,4/9/25,,15672906,25732081,15,1,21,0,No,No,,5/1/25,file:///Users/pinkylee/Desktop/Hsapiens.html,
LIN28B,Cold shock domain / CCHC zinc knuckle (RNA-binding),4/9/25,,16331643,26788269,59,23,637,0,No,No,,,,
CSRP2,LIM domain,4/9/25,,18157918,30052695,8,0,0,0,No,No,,,,
CSRP3,LIM domain,4/9/25,,22722771,37646720,51,24,845,0,No,No,,,,
